id,rikishi,losses,matches,wins,pct,top_rank,favored_kimarite,alt_shikona2,alt_shikona3
27,Wakanojo,246,457,211,0.46,Maegashira6,yorikiri,Aka,
4116,Dewanohana,252,462,210,0.45,Sekiwake,yorikiri,,
4094,Onishiki,245,454,209,0.46,Maegashira1,yorikiri,,
1288,Kotobeppu,269,478,209,0.44,Maegashira1,yorikiri,,
12231,Kirishima,166,375,209,0.56,Ozeki,yorikiri,Kiribayama,
4078,Oshio,233,440,207,0.47,Maegashira1,yorikiri,,
4130,Hachiya,214,420,206,0.49,Maegashira6,yorikiri,,
99,Shunketsu,240,444,204,0.46,Maegashira12,yorikiri,Komahikari,Ishide
225,Takanotsuru,232,436,204,0.47,Maegashira8,yorikiri,Sekiyama,
1032,Hochiyama,247,451,204,0.45,Maegashira14,yorikiri,,
6770,Tenkaiho,235,437,202,0.46,Maegashira8,yorikiri,Minami,
66,Wakahayato,219,418,199,0.48,Juryo3,yorikiri,,
12144,Daishomaru,213,412,199,0.48,Maegashira5,oshidashi,Kawabata,
12024,Shimanoumi,211,410,199,0.49,Maegashira3,oshidashi,,
1367,Fujinoshin,219,417,198,0.47,Maegashira1,yorikiri,Fujihikari,
157,Tomoefuji,201,399,198,0.5,Komusubi,yorikiri,,
6034,Sagatsukasa,234,432,198,0.46,Maegashira9,oshidashi,Isobe,
11971,Jokoryu,215,413,198,0.48,Komusubi,yorikiri,Sakumayama,
11987,Osunaarashi,173,370,197,0.53,Maegashira1,yorikiri,,
7121,Tokushinho,224,419,195,0.47,Juryo6,oshidashi,,
8899,Kyokutaisei,201,395,194,0.49,Maegashira8,oshidashi,,
24,Ganyu,254,447,193,0.43,Maegashira1,yorikiri,,
206,Kotokasuga,206,399,193,0.48,Maegashira7,yorikiri,,
81,Wakakosho,210,400,190,0.47,Maegashira14,yorikiri,,
163,Senshuyama,215,405,190,0.47,Juryo1,oshidashi,,
1011,Hakuba,191,379,188,0.5,Komusubi,yorikiri,,
1306,Hitachiryu,194,381,187,0.49,Maegashira14,yorikiri,,
1297,Dairyu,196,380,184,0.48,Juryo4,yorikiri,,
1106,Koryu,197,381,184,0.48,Maegashira11,oshidashi,,
4138,Tochimatoi,197,379,182,0.48,Maegashira11,oshidashi,,
1241,Kitaharima,216,398,182,0.46,Maegashira15,oshidashi,,
4140,Chikubayama,178,359,181,0.5,Maegashira13,oshidashi,,
874,Hamanishiki,223,402,179,0.45,Maegashira11,yorikiri,Takahama,
12270,Kotonowaka,129,305,176,0.58,Komusubi,yorikiri,Kotokamatani,
4311,Hakuryu,206,381,175,0.46,Juryo2,yorikiri,,
4107,Kaiki,215,390,175,0.45,Maegashira3,yorikiri,,
73,Kanechika,201,376,175,0.47,Juryo2,yorikiri,Gassan,
1289,Rikio,149,324,175,0.54,Maegashira9,uwatenage,,
6767,Tochinowaka,195,370,175,0.47,Maegashira1,yorikiri,,
1243,Katayama,202,376,174,0.46,Maegashira13,oshidashi,,
12226,Ura,147,319,172,0.54,Maegashira1,oshidashi,,
1402,Hakurozan,189,360,171,0.47,Maegashira2,hatakikomi,,
4100,Kaneshiro,220,390,170,0.44,Maegashira1,yorikiri,Tochihikari,
6654,Masunoyama,181,351,170,0.48,Maegashira4,oshidashi,,
898,Chiyohakuho,169,336,167,0.5,Maegashira6,oshidashi,,
160,Tatsuhikari,181,345,164,0.48,Maegashira6,yorikiri,,
6552,Sotairyu,190,354,164,0.46,Maegashira15,oshidashi,,
12273,Daiamami,177,341,164,0.48,Maegashira11,yorikiri,Sakamoto,
5988,Oiwato,210,372,162,0.44,Maegashira16,oshidashi,Kanbayashi,
46,Dewaarashi,173,332,159,0.48,Maegashira14,yorikiri,,
12451,Hoshoryu,112,270,158,0.59,Sekiwake,yorikiri,,
4117,Misugiiso,193,346,153,0.44,Maegashira4,yorikiri,Azumanada,
2929,Kagamio,158,311,153,0.49,Maegashira9,yorikiri,,
4124,Shishiho,167,319,152,0.48,Maegashira2,yorikiri,,
4137,Fujinokawa,154,305,151,0.5,Maegashira3,yorikiri,Hattori,
6620,Sakaizawa,141,292,151,0.52,Maegashira15,yorikiri,,
1314,Owakamatsu,155,304,149,0.49,Maegashira13,yorikiri,,
54,Ohinode,159,308,149,0.48,Maegashira9,yorikiri,,
67,Tochinofuji,164,311,147,0.47,Maegashira11,oshidashi,,
