id,rikishi,matches,wins,losses,pct,top_rank,favored_kimarite,alt_shikona2,alt_shikona3
4127,Wakashimazu,395,250,145,0.63,Ozeki,yorikiri,,
6594,Ryuden,496,250,246,0.5,Komusubi,yorikiri,,
55,Zenshinyama,539,249,290,0.46,Juryo2,oshidashi,,
129,Hayateumi,461,249,212,0.54,Sekiwake,yorikiri,Saito,
6928,Chiyootori,472,246,226,0.52,Komusubi,yorikiri,,
11840,Chiyonoo,526,246,280,0.47,Maegashira14,yorikiri,Chiyoo,
864,Bushuyama,535,245,290,0.46,Maegashira3,yorikiri,,
1356,Kinoarashi,506,244,262,0.48,Maegashira8,yorikiri,,
371,Kyokunankai,500,243,257,0.49,Maegashira16,yorikiri,,
6010,Kimurayama,521,242,279,0.46,Maegashira7,oshidashi,,
2851,Fujiazuma,517,242,275,0.47,Maegashira4,oshidashi,,
8900,Akiseyama,546,241,305,0.44,Maegashira12,yorikiri,Fukao,
6531,Asahisho,508,240,268,0.47,Maegashira11,oshidashi,,
12291,Asanoyama,391,240,151,0.61,Ozeki,yorikiri,,
1378,Hoo,516,239,277,0.46,Sekiwake,yorikiri,,
4136,Futahaguro,349,239,110,0.68,Yokozuna,yorikiri,Kitao,
11868,Terutsuyoshi,513,239,274,0.47,Maegashira3,oshidashi,,
1376,Hananoumi,484,237,247,0.49,Komusubi,yorikiri,,
1311,Kototsubaki,479,235,244,0.49,Maegashira3,yorikiri,,
6559,Seiro,509,235,274,0.46,Maegashira14,yorikiri,,
88,Tamarikido,484,234,250,0.48,Maegashira8,yorikiri,,
2847,Masatsukasa,467,233,234,0.5,Maegashira8,oshidashi,,
21,Asahiyutaka,488,232,256,0.48,Komusubi,yorikiri,,
92,Harunoyama,479,232,247,0.48,Maegashira10,yorikiri,Haruyama,
12292,Yutakayama,491,232,259,0.47,Maegashira1,oshidashi,Oyanagi,
1309,Tamakairiki,488,230,258,0.47,Maegashira8,yorikiri,,
1331,Saganobori,494,229,265,0.46,Maegashira14,yorikiri,,
1307,Daishoyama,464,228,236,0.49,Maegashira2,yorikiri,,
4131,Tochitsurugi,511,225,286,0.44,Maegashira2,oshidashi,,
4099,Kirinji,512,225,287,0.44,Komusubi,oshidashi,,
1362,Onohana,465,224,241,0.48,Maegashira13,yorikiri,,
7115,Tosayutaka,453,222,231,0.49,Maegashira1,yorikiri,,
12203,Tobizaru,445,221,224,0.5,Komusubi,oshidashi,Iwasaki,
1421,Roho,405,220,185,0.54,Komusubi,yorikiri,,
12370,Wakatakakage,383,220,163,0.57,Sekiwake,yorikiri,,
6497,Daido,470,219,251,0.47,Maegashira8,uwatenage,Nakanishi,
1136,Mokonami,440,218,222,0.5,Maegashira6,yorikiri,,
6771,Aran,465,218,247,0.47,Sekiwake,hatakikomi,,
4126,Sadanoumi,501,217,284,0.43,Komusubi,yorikiri,,
1358,Hoshiiwato,466,217,249,0.47,Maegashira14,yorikiri,Hoshikabuto,
287,Wakatoba,466,214,252,0.46,Maegashira11,oshidashi,Yamada,
27,Wakanojo,457,211,246,0.46,Maegashira6,yorikiri,Aka,
4116,Dewanohana,462,210,252,0.45,Sekiwake,yorikiri,,
4094,Onishiki,454,209,245,0.46,Maegashira1,yorikiri,,
1288,Kotobeppu,478,209,269,0.44,Maegashira1,yorikiri,,
12231,Kirishima,375,209,166,0.56,Ozeki,yorikiri,Kiribayama,
4078,Oshio,440,207,233,0.47,Maegashira1,yorikiri,,
4130,Hachiya,420,206,214,0.49,Maegashira6,yorikiri,,
99,Shunketsu,444,204,240,0.46,Maegashira12,yorikiri,Komahikari,Ishide
225,Takanotsuru,436,204,232,0.47,Maegashira8,yorikiri,Sekiyama,
1032,Hochiyama,451,204,247,0.45,Maegashira14,yorikiri,,
6770,Tenkaiho,437,202,235,0.46,Maegashira8,yorikiri,Minami,
66,Wakahayato,418,199,219,0.48,Juryo3,yorikiri,,
12144,Daishomaru,412,199,213,0.48,Maegashira5,oshidashi,Kawabata,
12024,Shimanoumi,410,199,211,0.49,Maegashira3,oshidashi,,
1367,Fujinoshin,417,198,219,0.47,Maegashira1,yorikiri,Fujihikari,
157,Tomoefuji,399,198,201,0.5,Komusubi,yorikiri,,
6034,Sagatsukasa,432,198,234,0.46,Maegashira9,oshidashi,Isobe,
11971,Jokoryu,413,198,215,0.48,Komusubi,yorikiri,Sakumayama,
11987,Osunaarashi,370,197,173,0.53,Maegashira1,yorikiri,,
7121,Tokushinho,419,195,224,0.47,Juryo6,oshidashi,,
8899,Kyokutaisei,395,194,201,0.49,Maegashira8,oshidashi,,
24,Ganyu,447,193,254,0.43,Maegashira1,yorikiri,,
206,Kotokasuga,399,193,206,0.48,Maegashira7,yorikiri,,
81,Wakakosho,400,190,210,0.47,Maegashira14,yorikiri,,
163,Senshuyama,405,190,215,0.47,Juryo1,oshidashi,,
1011,Hakuba,379,188,191,0.5,Komusubi,yorikiri,,
1306,Hitachiryu,381,187,194,0.49,Maegashira14,yorikiri,,
1297,Dairyu,380,184,196,0.48,Juryo4,yorikiri,,
1106,Koryu,381,184,197,0.48,Maegashira11,oshidashi,,
4138,Tochimatoi,379,182,197,0.48,Maegashira11,oshidashi,,
1241,Kitaharima,398,182,216,0.46,Maegashira15,oshidashi,,
4140,Chikubayama,359,181,178,0.5,Maegashira13,oshidashi,,
874,Hamanishiki,402,179,223,0.45,Maegashira11,yorikiri,Takahama,
12270,Kotonowaka,305,176,129,0.58,Komusubi,yorikiri,Kotokamatani,
4311,Hakuryu,381,175,206,0.46,Juryo2,yorikiri,,
4107,Kaiki,390,175,215,0.45,Maegashira3,yorikiri,,
73,Kanechika,376,175,201,0.47,Juryo2,yorikiri,Gassan,
1289,Rikio,324,175,149,0.54,Maegashira9,uwatenage,,
6767,Tochinowaka,370,175,195,0.47,Maegashira1,yorikiri,,
1243,Katayama,376,174,202,0.46,Maegashira13,oshidashi,,
12226,Ura,319,172,147,0.54,Maegashira1,oshidashi,,
1402,Hakurozan,360,171,189,0.47,Maegashira2,hatakikomi,,
4100,Kaneshiro,390,170,220,0.44,Maegashira1,yorikiri,Tochihikari,
6654,Masunoyama,351,170,181,0.48,Maegashira4,oshidashi,,
898,Chiyohakuho,336,167,169,0.5,Maegashira6,oshidashi,,
160,Tatsuhikari,345,164,181,0.48,Maegashira6,yorikiri,,
6552,Sotairyu,354,164,190,0.46,Maegashira15,oshidashi,,
12273,Daiamami,341,164,177,0.48,Maegashira11,yorikiri,Sakamoto,
5988,Oiwato,372,162,210,0.44,Maegashira16,oshidashi,Kanbayashi,
46,Dewaarashi,332,159,173,0.48,Maegashira14,yorikiri,,
12451,Hoshoryu,270,158,112,0.59,Sekiwake,yorikiri,,
4117,Misugiiso,346,153,193,0.44,Maegashira4,yorikiri,Azumanada,
2929,Kagamio,311,153,158,0.49,Maegashira9,yorikiri,,
4124,Shishiho,319,152,167,0.48,Maegashira2,yorikiri,,
4137,Fujinokawa,305,151,154,0.5,Maegashira3,yorikiri,Hattori,
6620,Sakaizawa,292,151,141,0.52,Maegashira15,yorikiri,,
1314,Owakamatsu,304,149,155,0.49,Maegashira13,yorikiri,,
54,Ohinode,308,149,159,0.48,Maegashira9,yorikiri,,
67,Tochinofuji,311,147,164,0.47,Maegashira11,oshidashi,,
4104,Takanosato,197,145,52,0.74,Yokozuna,yorikiri,,
1319,Tachihikari,305,145,160,0.48,Maegashira15,uwatenage,,
226,Wakatenro,321,145,176,0.45,Juryo2,oshidashi,,
5984,Shirononami,308,145,163,0.47,Juryo4,yorikiri,Shiraishi,
4112,Kotokaze,222,144,78,0.65,Ozeki,yorikiri,,
